,Date,SVI
0,2015-12-31,11.0
1,2016-01-01,11.0
2,2016-01-02,14.0
3,2016-01-03,9.0
4,2016-01-04,12.0
5,2016-01-05,12.0
6,2016-01-06,10.0
7,2016-01-07,10.0
8,2016-01-08,11.0
9,2016-01-09,12.0
10,2016-01-10,8.0
11,2016-01-11,8.0
12,2016-01-12,8.0
13,2016-01-13,9.0
14,2016-01-14,11.0
15,2016-01-15,8.0
16,2016-01-16,8.0
17,2016-01-17,7.0
18,2016-01-18,17.0
19,2016-01-19,9.0
20,2016-01-20,12.0
21,2016-01-21,10.0
22,2016-01-22,17.0
23,2016-01-23,10.0
24,2016-01-24,10.0
25,2016-01-25,19.0
26,2016-01-26,11.0
27,2016-01-27,13.0
28,2016-01-28,11.0
29,2016-01-29,13.0
30,2016-01-30,11.0
31,2016-01-31,10.0
32,2016-02-01,8.0
33,2016-02-02,8.0
34,2016-02-03,25.0
35,2016-02-04,12.0
36,2016-02-05,12.0
37,2016-02-06,27.0
38,2016-02-07,17.0
39,2016-02-08,9.0
40,2016-02-09,13.0
41,2016-02-10,11.0
42,2016-02-11,10.0
43,2016-02-12,11.0
44,2016-02-13,17.0
45,2016-02-14,18.0
46,2016-02-15,10.0
47,2016-02-16,8.0
48,2016-02-17,7.0
49,2016-02-18,8.0
50,2016-02-19,12.0
51,2016-02-20,14.0
52,2016-02-21,10.0
53,2016-02-22,12.0
54,2016-02-23,9.0
55,2016-02-24,14.0
56,2016-02-25,20.0
57,2016-02-26,14.0
58,2016-02-27,100.0
59,2016-02-28,37.0
60,2016-02-29,29.0
61,2016-03-01,24.0
62,2016-03-02,20.0
63,2016-03-03,26.0
64,2016-03-04,16.0
65,2016-03-05,19.0
66,2016-03-06,12.0
67,2016-03-07,16.0
68,2016-03-08,13.0
69,2016-03-09,17.0
70,2016-03-10,14.0
71,2016-03-11,14.0
72,2016-03-12,16.0
73,2016-03-13,17.0
74,2016-03-14,17.0
75,2016-03-15,11.0
76,2016-03-16,14.0
77,2016-03-17,13.0
78,2016-03-18,16.0
79,2016-03-19,19.0
80,2016-03-20,10.0
81,2016-03-21,10.0
82,2016-03-22,13.0
83,2016-03-23,17.0
84,2016-03-24,13.0
85,2016-03-25,16.0
86,2016-03-26,14.0
87,2016-03-27,12.0
88,2016-03-28,11.0
89,2016-03-29,14.0
90,2016-03-30,11.0
